TRANSLATION_NAME|Troll Translation Inc.
SONGMENU_BUTTONSETTINGSMOUSESENSITIVITYHEADER|mouse croshare speed
SONGMENU_BUTTONSETTINGSMOUSESENSITIVITYBODY|ur mose movin da croshair & da catchurs. higher numbr means faster duh
SONGMENU_BUTTONSETTINGSGAMEOFFSETHEADER|ur offset
SONGMENU_BUTTONSETTINGSGAMEOFFSETBODY|calibration sometin... ok duno wtf this is lol
SONGMENU_BUTTONSETTINGSSHOWCURRENTCOMBOHEADER|show ur combo
SONGMENU_BUTTONSETTINGSSHOWCURRENTCOMBOBODY|shws ur combo in BIG numbrs
SONGMENU_BUTTONSETTINGSSHOWSONGDETAILSHEADER|show musik details
SONGMENU_BUTTONSETTINGSSHOWSONGDETAILSBODY|shows song name n stuff in case ur amnesiac
SONGMENU_BUTTONSETTINGSSHOWPLAYACCURACYHEADER|show ur accuracy
SONGMENU_BUTTONSETTINGSSHOWPLAYACCURACYBODY|shows a long stick on the bottum to tell u how good/bad u really r
SONGMENU_BUTTONSETTINGSSHOWRECORDGHOSTHEADER|shows ur past self as a ghost
SONGMENU_BUTTONSETTINGSSHOWRECORDGHOSTBODY|shows the accuracy of ur best record, which is kinda spooky D:
SONGMENU_BUTTONSETTINGSSHOWHITJUDGMENTHEADER|show hit judge
SONGMENU_BUTTONSETTINGSSHOWHITJUDGMENTBODY|im pretty sure u like to see how bad u hit these notes. its kinda necessary tho
SONGMENU_BUTTONSETTINGSSHOWCOUNTJUDGMENTHEADER|show judg count
SONGMENU_BUTTONSETTINGSSHOWCOUNTJUDGMENTBODY|ever wanted 2 kno how u got that < 100% acc in da middle of a song? now u can!
CREATOR_INPUTFIELDFILENAME|UR CHART FILE
CREATOR_INPUTFIELDOPTIONAL|U KNO U DON AKSUALLY NID 2 PUT STUF HRE
CREATOR_INPUTFIELDENTERTEXT|U CNA TYPE HERE
CREATOR_INPUTFIELDENTERVALUE|PUT NUMBRS ERE
CREATOR_CHARTGAMETYPEHEADER|LE GAME TYPE
CREATOR_CHARTGAMETYPEBODY0|LINEUR (LN)
CREATOR_CHARTGAMETYPEBODY1|DUBBLE (DB)
CREATOR_CHARTGAMETYPEBODY2|KUAD (QD)
CREATOR_CHARTGAMETYPEBODY3|POWAHFUL (PWF)
CREATOR_CHARTGAMETYPEBODY4|SUPAH (SP)
CREATOR_CHARTGAMETYPEBODY5|ULTRAH (ULT)
CREATOR_CHARTGAMETYPEBODY6|BLK KORE (BC)
CREATOR_CHARTGAMETYPEBODY7|DANMAKU (ND)
CREATOR_NOTEPLACETYPEHEADER|NOTE PLACIN ON CLIK
CREATOR_NOTEPLACETYPEBODY0|1 dawn
CREATOR_NOTEPLACETYPEBODY1|2 up
CREATOR_NOTEPLACETYPEBODY2|3 lft
CREATOR_NOTEPLACETYPEBODY3|4 rite
CREATOR_NOTEPLACETYPEBODY4|5 dawn tap
CREATOR_NOTEPLACETYPEBODY5|6 up tap
CREATOR_NOTEPLACETYPEBODY6|7 lft tap
CREATOR_NOTEPLACETYPEBODY7|8 rite tap
CREATOR_NOTEPLACETYPEHELP|* Da <color="yellow">Left Ctrl/Cmd</color> n <color="yellow">left-click</color> lets u <color="cyan">creat notes</color> n u can <color="yellow">right-click</color> 2 <color=#ff2222>delet nots</color>.|** <color="yellow">Hold Left Shift</color> 2 <color=#00ff00>ignor grid rulez</color> cuz they suck.
CREATOR_NOTELENGTHHEADER|NOTE LONGNESS
CREATOR_NOTELENGTHHELP|* must be <color="yellow">> 0.01</color> 2 plac looooooooong notes
CREATOR_NOTEEXTRAEFFECT|NTE XTRA FXez
CREATOR_VIEWZOOM|ZOOOOOOOOOOOOOM
CREATOR_SONGNAME|MUSIK NAM
CREATOR_SONGARTIST|LE CUMPOSAH
CREATOR_CHARTDEV|THE CHART MAKER
CREATOR_CHARTDESCRIPTION|ur personal taughts
CREATOR_SONGBPM|SONG SPEEEEEEED
CREATOR_SONGLENGTH|DESTINASHUN IN SECUNDS 2 END
CREATOR_JUDGEDIFFICULTY|CHRT JUDGMT STRICTNEZ
CREATOR_BEATSNAPDIVISORHEADER|not beat snp grd div
CREATOR_HORISNAPDIVISORHEADER|not hori pos snp div
CREATOR_CHARTLEVEL|churt lvl
CREATOR_CURRENTMEASURE|mesure
CREATOR_CURRENTBEAT|beet
CREATOR_CURRENTSONGPOSITION|sng pusitiun
CREATOR_CURRENTSONGPOSITIONUNKNOWN|sng pusitiun ?????
CREATOR_OPTIONSMOUSESCROLLFUNCHEADER|mous scrol do what
CREATOR_OPTIONSMOUSESCROLLFUNCBODY0|move teh chart
CREATOR_OPTIONSMOUSESCROLLFUNCBODY1|move chart opposit dir
CREATOR_OPTIONSMOUSESCROLLFUNCBODY2|zooooooooooooom
CREATOR_OPTIONSMOUSESCROLLFUNCBODY3|chng not type
CREATOR_OPTIONSMOUSESCROLLFUNCBODY4|chng beat snap div
CREATOR_OPTIONSPREVIEWHEADER|song play stuf
CREATOR_OPTIONSPREVIEWLENGTH|preview longness
CREATOR_OPTIONSPREVIEWFADE|preview smooth fde
CREATOR_BUTTONSONGPREVIEW|PLAY SNG
CREATOR_BUTTONREMOVEALLNOTEEFFECTS|GIT RID OF EFFECT LIST
CREATOR_BUTTONLOADCHART|LODE
CREATOR_BUTTONSAVECHART|SAEV
CREATOR_BUTTONOPTIONSCLOSE|CLOSE OPSHUNS MENU
CREATOR_BUTTONOPTIONSOPEN|OPEN OPSHUNS MENU
CREATOR_BUTTONOPTIONSCLEARCHART|CLEER MAH CHURT
CREATOR_BUTTONOPTIONSEXITEDITOR|ME OUTA HERE
CREATOR_BUTTONCONFIRMATIONCLEARCHART|ERAZE CHRT
CREATOR_BUTTONCONFIRMATIONLOADCHART|LODE CHRT
CREATOR_BUTTONCONFIRMATIONSAVECHART|SAEV CHRT
CREATOR_BUTTONCANCEL|NEIN
CREATOR_BUTTONYES|YEEEEEE
CREATOR_BUTTONNO|HELL NO
CREATOR_BUTTONUP|up
CREATOR_BUTTONDOWN|dn
CREATOR_CLEARCONFIRMHEADER|delete ur chart?
CREATOR_CLEARCONFIRMBODY|u gona start frm scrtch?||were not responsible for ur sory ass if ur currnt work is not saved|cuz <color=ff3030>u cannot rewind time to save ur work</color>||r u sure???????
CREATOR_SAVECONFIRMHEADER|write ur chart on a txt fle?
CREATOR_SAVECONFIRMBODY|u gona save ur chart onto a text file||were not responsible for ur sory ass if ur old chart exists and is saved over|cuz <color=ff3030>u cannot rewind time to save ur old chart</color>||r u sure???????
CREATOR_LOADCONFIRMHEADER|read ur chart frm a txt fle?
CREATOR_LOADCONFIRMBODY|u gona load ur chart onto a text file||were not responsible for ur sory ass if ur currnt work is not saved|cuz <color=ff3030>u cannot rewind time to save ur work</color>||r u sure???????
CREATOR_EXITCONFIRMHEADER|exit da editur?
CREATOR_EXITCONFIRMBODY|u gona exit 2 da titl scrin||were not responsible for ur sory ass if ur currnt work is not saved|cuz <color=ff3030>u cannot rewind time to save ur work</color>||r u sure???????
ERROR|If you're reading this, I messed up.
